,Address,Price,Link
0,747 Geary Street St Oakland CA 94609,"$2,895",https://www.zillow.com/b/747-geary-street-oakland-ca-CYzGVt/
1,Parkmerced 3711 19th Ave San Francisco CA,"$2,810",https://www.zillow.com/apartments/san-francisco-ca/parkmerced/5XjKHx/
2,845 Sutter St APT 509 San Francisco CA,"$2,450",https://www.zillow.com/apartments/san-francisco-ca/845-sutter/5XkKMm/
3,100 Van Ness Ave #410 San Francisco CA 94102,"$2,940",https://www.zillow.com/apartments/san-francisco-ca/100-van-ness/5hJ5Sv/
4,828 Franklin St #606 San Francisco CA 94102,"$2,395",https://www.zillow.com/apartments/san-francisco-ca/828-franklin/5XkH2V/
5,923 Folsom St APT 506 San Francisco CA 94107,"$2,816",https://www.zillow.com/apartments/san-francisco-ca/923-folsom/5Yy6Np/
6,Hanover Soma West 1140 Harrison St #138 San Francisco CA 94103,"$2,974",https://www.zillow.com/apartments/san-francisco-ca/hanover-soma-west/9NJsx9/
7,Slate Residences 911 Bryant St #102 San Francisco CA 94103,"$2,704",https://www.zillow.com/apartments/san-francisco-ca/slate-residences/9NJxjf/
8,NorthPoint Apartments 2211 Stockton St San Francisco CA 94133,"$2,810",https://www.zillow.com/apartments/san-francisco-ca/northpoint-apartments/5XjLPJ/
9,The Landing 1395 22nd St San Francisco CA,"$2,798",https://www.zillow.com/apartments/san-francisco-ca/the-landing/9NK3gC/
10,1350 Washington Street St San Francisco CA,"$2,195",https://www.zillow.com/apartments/san-francisco-ca/1350-washington-street/9NKDS7/
11,2775 Market St APT 102 San Francisco CA 94114,"$2,995",https://www.zillow.com/apartments/san-francisco-ca/2775-market-st/5XsQ4D/
12,Mt. Sutro 480 Warren Dr #312 San Francisco CA 94131,"$2,895",https://www.zillow.com/apartments/san-francisco-ca/mt.-sutro/5XjVRC/
13,Konrad on the Park 971 Eddy St #212 San Francisco CA 94109,"$2,805",https://www.zillow.com/apartments/san-francisco-ca/konrad-on-the-park/9NKJXS/
